show_id,type,title,director.1,director.2,director.3,Column1,cast.1,cast.2,cast.3,cast.4,cast.5,cast.6,cast.7,cast.8,cast.9,cast.10,cast.11,cast.12,cast.13,cast.14,cast.15,cast.16,cast.17,cast.18,cast.19,cast.20,cast.21,cast.22,cast.23,cast.24,cast.25,cast.26,cast.27,cast.28,cast.29,cast.30,cast.31,cast.32,cast.33,cast.34,cast.35,cast.36,Length,country,date_added,release_year,rating,duration,listed_in.1,listed_in.2,listed_in.3
s7842,Movie,Recall,Michael James Regan,,,,Michael James Regan, Tommy James Murphy, Louis Di Bianco, Stefano DiMatteo, Juan Carlos Velis, Katriina Isberg, Danny Bruzzi, Eugene Clark, Ronnie Rowe Jr., Brendee Green, A.C. Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,185,Canada,2019-06-25,2018,TV-MA,73 min,Dramas,,
s8695,Movie,War,Philip G. Atwell,,,,Jet Li, Jason Statham, John Lone, Devon Aoki, Luis Guzmán, Saul Rubinek, Sung Kang, Mathew St. Patrick, Nadine Velazquez, Andrea Roth, Mark Cheng, Kane Kosugi, Ryo Ishibashi, Steph Song,,,,,,,,,,,,,,,,,,,,,,,185,"United States, Canada",2019-04-01,2007,R,103 min,Action & Adventure,,
s341,Movie,Inception,Christopher Nolan,,,,Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas,,,,,,,,,,,,,,,,,,,,,,,,,184,"United States, United Kingdom",2021-08-01,2010,PG-13,148 min,Action & Adventure, Sci-Fi & Fantasy, Thrillers
s346,Movie,Open Season: Scared Silly,David Feiss,,,,William Townsend, Donny Lucas, Melissa Sturm, Trevor Devall, Brian Drummond, Kathleen Barr, Garry Chalk, Lee Tockar, Shannon Chan-Kent, Michelle Murdocca, Lorne Cardinal, Peter Kelamis,,,,,,,,,,,,,,,,,,,,,,,,,184,"United States, Canada",2021-08-01,2015,PG,85 min,Children & Family Movies, Comedies,
s452,Movie,Twilight,Catherine Hardwicke,,,,Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Elizabeth Reaser, Cam Gigandet, Ashley Greene, Anna Kendrick, Nikki Reed, Taylor Lautner, Jackson Rathbone, Kellan Lutz,,,,,,,,,,,,,,,,,,,,,,,,,184,United States,2021-07-16,2008,PG-13,122 min,Action & Adventure, Dramas, Romantic Movies
s776,Movie,A Perfect Ending,Nicole Conn,,,,Barbara Niven, Jessica Clark, John Heard, Morgan Fairchild, Kerry Knuppe, Imelda Corcoran, Mary Jane Wells, Rebecca Staab, Michael Adam Hamilton, Bryan Jackson, Bryan Mordechai Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,184,United States,2021-06-02,2012,TV-MA,110 min,Dramas, Independent Movies, LGBTQ Movies
s1320,Movie,Xico's Journey,Eric D. Cabello Díaz,,,,Verónica Alva, Pablo Gama Iturrarán “Mago Gamini”, Luis Ángel Jaramillo, Lila Downs, Elena Poniatowska, Verónica Castro, Enrique Guzmán, Alex Lora, Marco Antonio Solís, Víctor Trujillo,,,,,,,,,,,,,,,,,,,,,,,,,,,184,Mexico,2021-02-12,2021,TV-Y7,87 min,Children & Family Movies,,
s1367,Movie,Fatima,Marco Pontecorvo,,,,Joaquim de Almeida, Goran Visnjic, Stephanie Gil, Alejandra Howard, Jorge Lamelas, Lúcia Moniz, Marco D'Almeida, Joana Ribeiro, Carla Chambel, Elmano Sancho, Harvey Keitel, Sonia Braga,,,,,,,,,,,,,,,,,,,,,,,,,184,"Portugal, United States",2021-01-31,2020,PG-13,113 min,Dramas, Faith & Spirituality,
s1679,Movie,Raman Raghav 2.0,Anurag Kashyap,,,,Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala, Mukesh Chhabra, Anuschka Sawhney, Vipin Sharma, Deepali Suryakant Badekar, Ashok Lokhande, Harssh Singh, Rajesh Jais, Hitesh Dave,,,,,,,,,,,,,,,,,,,,,,,,,,184,India,2020-11-19,2016,TV-MA,133 min,International Movies, Thrillers,
s2568,Movie,Death Can Wait,Fernando Ayllón,,,,Ricardo Quevedo, Nelson Polanía, Liss Pereira, Brian Moreno, Ana Cristina Botero, Jairo Ordóñez, Luis Alberto Saavedra, Blanca Ligia Franco, Marianne Schaller Romero, Shirley Marulanda,,,,,,,,,,,,,,,,,,,,,,,,,,,184,Colombia,2020-05-02,2020,TV-14,91 min,Comedies, International Movies,
