Id,0,Degree
Robert Patrick,cast,22
Liam Cunningham,cast,8
Joel Kinnaman,cast,4
Training Day,movie,12
Antoine Fuqua,director,51
Ethan Hawke,cast,25
Scott Glenn,cast,8
Tom Berenger,cast,12
Harris Yulin,cast,10
Raymond J. Barry,cast,4
Cliff Curtis,cast,14
Dr. Dre,cast,6
Snoop Dogg,cast,12
Macy Gray,cast,6
Eva Mendes,cast,14
InuYasha the Movie 2: The Castle Beyond the Looking Glass,movie,11
Toshiya Shinohara,director,28
Kappei Yamaguchi,cast,8
Satsuki Yukino,cast,10
Mieko Harada,cast,3
Koji Tsujitani,cast,8
Houko Kuwashima,cast,10
Kumiko Watanabe,cast,8
Noriko Hidaka,cast,6
Kenichi Ogata,cast,4
Toshiyuki Morikawa,cast,7
Izumi Ogami,cast,2
InuYasha the Movie 3: Swords of an Honorable Ruler,movie,9
Ken Narita,cast,6
Akio Otsuka,cast,9
Kikuko Inoue,cast,5
InuYasha the Movie 4: Fire on the Mystic Island,movie,11
Cho,cast,3
Mamiko Noto,cast,5
Nobutoshi Canna,cast,3
InuYasha the Movie: Affections Touching Across Time,movie,11
Hisako Kyoda,cast,2
Tomokazu Seki,cast,2
Naruto Shippuden the Movie: Blood Prison,movie,11
Masahiko Murata,director,45
Junko Takeuchi,cast,14
Chie Nakamura,cast,14
Rikiya Koyama,cast,9
Kazuhiko Inoue,cast,11
Masaki Terasoma,cast,5
Mie Sonozaki,cast,3
Yuichi Nakamura,cast,5
Kengo Kawanishi,cast,3
Kosei Hirota,cast,3
Masako Katsuki,cast,5
Naruto Shippûden the Movie: Bonds,movie,12
Hajime Kamegaki,director,30
Noriaki Sugiyama,cast,6
Unsho Ishizuka,cast,2
Motoko Kumai,cast,2
Showtaro Morikubo,cast,7
Nana Mizuki,cast,6
Satoshi Hino,cast,5
Shinji Kawada,cast,4
Naruto Shippûden the Movie: The Will of Fire,movie,14
Kentaro Ito,cast,4
Ryoka Yuzuki,cast,2
