Id,Label,0,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Kimberly Quinn,Kimberly Quinn,cast,2,0,20,0.127634,0.136888,0
Loretta Devine,Loretta Devine,cast,20,0,20,0.153236,0.169318,0.001181
Ravi Kapoor,Ravi Kapoor,cast,2,0,20,0.127634,0.136888,0
Je Suis Karl,Je Suis Karl,movie,12,0,22,0.107108,0.112301,0.000239
Christian Schwochow,Christian Schwochow,director,12,0,22,0.107108,0.112301,0.000239
Luna Wedler,Luna Wedler,cast,2,0,23,0.096747,0.100437,0
Jannis Niewöhner,Jannis Niewöhner,cast,2,0,23,0.096747,0.100437,0
Milan Peschel,Milan Peschel,cast,6,0,22,0.11172,0.117447,0.000349
Edin Hasanović,Edin Hasanović,cast,2,0,23,0.096747,0.100437,0
Anna Fialová,Anna Fialová,cast,4,0,21,0.117198,0.123799,0.00042
Marlon Boess,Marlon Boess,cast,2,0,23,0.096747,0.100437,0
Victor Boccard,Victor Boccard,cast,2,0,23,0.096747,0.100437,0
Fleur Geffrier,Fleur Geffrier,cast,2,0,23,0.096747,0.100437,0
Aziz Dyab,Aziz Dyab,cast,2,0,23,0.096747,0.100437,0
Mélanie Fouché,Mélanie Fouché,cast,2,0,23,0.096747,0.100437,0
Elizaveta Maximová,Elizaveta Maximová,cast,2,0,23,0.096747,0.100437,0
Confessions of an Invisible Girl,Confessions of an Invisible Girl,movie,11,0,22,0.097505,0.10232,0
Bruno Garotti,Bruno Garotti,director,45,0,21,0.108035,0.11501,0.003767
Klara Castanho,Klara Castanho,cast,2,0,22,0.097502,0.102176,0
Lucca Picon,Lucca Picon,cast,2,0,22,0.097502,0.102176,0
Júlia Gomes,Júlia Gomes,cast,2,0,22,0.097502,0.102176,0
Marcus Bessa,Marcus Bessa,cast,2,0,22,0.097502,0.102176,0
Kiria Malheiros,Kiria Malheiros,cast,3,0,22,0.097502,0.102192,0
Fernanda Concon,Fernanda Concon,cast,2,0,22,0.097502,0.102176,0
Gabriel Lima,Gabriel Lima,cast,2,0,22,0.097502,0.102176,0
